"ID";"IDTSOLI";"IDTGASTO";"TIPO";"CUENTA";"DESC_CUENTA"
1;"01";"1";"2";"7110301";"Mantenimiento de Edificios"
2;"01";"2";"2";"7110302";"Gastos Refacción Casa"
3;"01";"3";"2";"7110305";"Seguros"
4;"01";"4";"2";"7110306";"Energía Eléctrica"
5;"01";"5";"2";"7110307";"Agua"
6;"01";"6";"2";"7110308";"Alquileres Pagados"
7;"01";"7";"2";"7110308";"Alquileres Pagados"
8;"01";"8";"2";"7110314";"Impuestos"
9;"01";"9";"2";"7110312";"Servicio de Limpieza"
10;"01";"10";"2";"7110313";"Servicios de Seguridad"
11;"01";"11";"2";"7111108";"Otros Gastos Administrativos"
12;"01";"12";"2";"7111108";"Otros Gastos Administrativos"
13;"01";"13";"2";"7111001";"Transporte Público"
14;"01";"1";"3";"7131108";"Otros Gastos Almacen Distribución"
15;"01";"2";"3";"7130302";"Gastos Refacción Casa"
16;"01";"3";"3";"7131108";"Otros Gastos Almacen Distribución"
17;"01";"4";"3";"7131108";"Otros Gastos Almacen Distribución"
18;"01";"5";"3";"7131108";"Otros Gastos Almacen Distribución"
19;"01";"6";"3";"7130308";"Alquileres Pagados"
20;"01";"7";"3";"7130308";"Alquileres Pagados"
21;"01";"8";"3";"7131108";"Otros Gastos Almacen Distribución"
22;"01";"9";"3";"7131108";"Otros Gastos Almacen Distribución"
23;"01";"10";"3";"7131108";"Otros Gastos Almacen Distribución"
24;"01";"11";"3";"7130309";"Material de Consumo y Limpieza"
25;"01";"12";"3";"7131108";"Otros Gastos Almacen Distribución"
26;"01";"13";"3";"7131001";"Transporte Público"
27;"01";"1";"5";"7141108";"Otros Gastos Servicios"
28;"01";"2";"5";"7140302";"Gastos Refacción Casa"
29;"01";"3";"5";"7141108";"Otros Gastos Servicios"
30;"01";"4";"5";"7141108";"Otros Gastos Servicios"
31;"01";"5";"5";"7141108";"Otros Gastos Servicios"
32;"01";"6";"5";"7140308";"Alquileres Pagados"
33;"01";"7";"5";"7140308";"Alquileres Pagados"
34;"01";"8";"5";"7140314";"Impuestos"
